Full Name,First Name,Last Name,2K00,2K01,2K02,2K03,2K04,2K05,2K06,2K07,2K08,2K09,2K10,2K11,2K12,2K13,2K14,2K15,2K16,2K17,2K18,2K19,2K20,2K21,2K22,2K23,2k24,2k25,2k26
Jalen Williams,Jalen,Williams,,,,,,,,,,,,,,,,,,,,,,,,72,82,86,90
Jaylen Brown,Jaylen,Brown,,,,,,,,,,,,,,,,,,74,76,84,79,84,86,87,89,92,90
Kyrie Irving,Kyrie,Irving,,,,,,,,,,,,,81,83,89,86,87,89,90,93,91,90,91,89,90,92,90
Trae Young,Trae,Young,,,,,,,,,,,,,,,,,,,,77,85,88,89,90,89,89,90
Evan Mobley,Evan,Mobley,,,,,,,,,,,,,,,,,,,,,,,78,84,85,86,89
James Harden,James,Harden,,,,,,,,,,,76,74,74,81,88,88,92,90,95,96,96,96,94,89,89,84,89
Jaren Jackson Jr,Jaren,Jackson Jr,,,,,,,,,,,,,,,,,,,,78,82,83,83,83,86,86,89
Paolo Banchero,Paolo,Banchero,,,,,,,,,,,,,,,,,,,,,,,,78,84,89,89
Pascal Siakam,Pascal,Siakam,,,,,,,,,,,,,,,,,,67,72,77,87,88,83,86,86,88,89
Bam Adebayo,Bam,Adebayo,,,,,,,,,,,,,,,,,,,72,78,79,86,86,87,87,88,88
Chet Holmgren,Chet,Holmgren,,,,,,,,,,,,,,,,,,,,,,,,77,77,87,88
Damian Lillard,Damian,Lillard,,,,,,,,,,,,,,70,82,87,86,89,89,90,92,94,94,89,94,89,88
Alperen Sengun,Alperen,Sengun,,,,,,,,,,,,,,,,,,,,,,,73,77,83,85,87
Darius Garland,Darius,Garland,,,,,,,,,,,,,,,,,,,,,77,74,82,87,86,82,87
Derrick White,Derrick,White,,,,,,,,,,,,,,,,,,,70,69,78,79,78,78,82,86,87
Domantas Sabonis,Domantas,Sabonis,,,,,,,,,,,,,,,,,,71,73,79,81,85,86,86,87,,87
Ivica Zubac,Ivica,Zubac,,,,,,,,,,,,,,,,,,67,75,73,77,78,78,77,80,82,87
Jimmy Butler,Jimmy,Butler,,,,,,,,,,,,,,67,76,80,86,88,90,89,88,89,91,93,95,89,87
LaMelo Ball,LaMelo,Ball,,,,,,,,,,,,,,,,,,,,,,77,84,87,86,87,87
Zion Williamson,Zion,Williamson,,,,,,,,,,,,,,,,,,,,,81,86,89,87,90,88,87
Amen Thompson,Amen,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,76,80,87
Franz Wagner,Franz,Wagner,,,,,,,,,,,,,,,,,,,,,,,74,80,82,86,86
Jamal Murray,Jamal,Murray,,,,,,,,,,,,,,,,,,75,77,81,84,85,85,84,88,87,86
Julius Randle,Julius,Randle,,,,,,,,,,,,,,,,76,74,77,78,80,83,80,87,82,85,85,86
Tyler Herro,Tyler,Herro,,,,,,,,,,,,,,,,,,,,,73,78,79,84,83,83,86
Tyrese Maxey,Tyrese,Maxey,,,,,,,,,,,,,,,,,,,,,,72,76,85,85,89,86
Austin Reaves,Austin,Reaves,,,,,,,,,,,,,,,,,,,,,,,,74,82,81,85
De'Aaron Fox,De'Aaron,Fox,,,,,,,,,,,,,,,,,,,77,78,86,85,85,84,88,88,85
DeMar DeRozan,DeMar,DeRozan,,,,,,,,,,,64,64,69,75,77,83,83,87,89,89,87,86,85,89,86,87,85
Kristaps Porzingis,Kristaps,Porzingis,,,,,,,,,,,,,,,,,74,81,86,88,87,87,84,85,86,87,85
OG Anunoby,Anunoby,Anunoby,,,,,,,,,,,,,,,,,,,71,76,73,79,79,81,82,84,85
Scottie Barnes,Scottie,Barnes,,,,,,,,,,,,,,,,,,,,,,,76,84,83,85,85
Zach LaVine,Zach,LaVine,,,,,,,,,,,,,,,,72,73,78,80,80,85,85,87,88,86,83,85
Brandon Ingram,Brandon,Ingram,,,,,,,,,,,,,,,,,,78,76,82,81,86,84,86,85,85,84
Jarrett Allen,Jarrett,Allen,,,,,,,,,,,,,,,,,,,72,78,79,81,82,85,83,84,84
Lauri Markkanen,Lauri,Markkanen,,,,,,,,,,,,,,,,,,,75,82,83,80,79,78,86,86,84
Mikal Bridges,Mikal,Bridges,,,,,,,,,,,,,,,,,,,,74,75,77,82,83,86,84,84
Norman Powell,Norman,Powell,,,,,,,,,,,,,,,,,68,74,75,74,74,77,80,80,79,79,84
Rudy Gobert,Rudy,Gobert,,,,,,,,,,,,,,,52,71,79,81,88,87,88,87,88,88,84,85,84
Cameron Johnson,Cameron,Johnson,,,,,,,,,,,,,,,,,,,,,72,76,77,80,81,79,83
Coby White,Coby,White,,,,,,,,,,,,,,,,,,,,,76,77,78,76,76,81,83
Desmond Bane,Desmond,Bane,,,,,,,,,,,,,,,,,,,,,,70,76,83,84,,83
Dyson Daniels,Dyson,Daniels,,,,,,,,,,,,,,,,,,,,,,,,73,75,74,83
Jalen Green,Jalen,Green,,,,,,,,,,,,,,,,,,,,,,,79,82,83,84,83
Myles Turner,Myles,Turner,,,,,,,,,,,,,,,,,73,78,84,80,82,79,79,82,83,84,83
Aaron Gordon,Aaron,Gordon,,,,,,,,,,,,,,,,74,74,76,78,82,81,80,78,79,84,84,82
Deni Avdija,Deni,Avdija,,,,,,,,,,,,,,,,,,,,,,75,75,76,76,80,82
Isaiah Hartenstein,Isaiah,Hartenstein,,,,,,,,,,,,,,,,,,,,68,68,73,75,74,76,81,82
Jaden McDaniels,Jaden,McDaniels,,,,,,,,,,,,,,,,,,,,,,72,75,75,81,80,82
Jalen Duren,Jalen,Duren,,,,,,,,,,,,,,,,,,,,,,,,73,79,81,82
Jalen Suggs,Jalen,Suggs,,,,,,,,,,,,,,,,,,,,,,,77,75,76,82,82
John Collins,John,Collins,,,,,,,,,,,,,,,,,,,73,79,84,85,84,83,80,80,82
Josh Giddey,Josh,Giddey,,,,,,,,,,,,,,,,,,,,,,,75,82,83,79,82
Michael Porter,Michael,Porter,,,,,,,,,,,,,,,,,,,,76,76,81,84,80,83,83,82
Naz Reid,Naz,Reid,,,,,,,,,,,,,,,,,,,,,70,72,76,75,79,81,82
Nikola Vucevic,Nikola,Vucevic,,,,,,,,,,,,,,,73,80,83,80,80,81,86,86,85,83,84,81,82
RJ Barrett,RJ,Barrett,,,,,,,,,,,,,,,,,,,,,78,75,83,84,82,81,82
Trey Murphy,Trey,Murphy,,,,,,,,,,,,,,,,,,,,,,,72,75,79,80,82
Walker Kessler,Walker,Kessler,,,,,,,,,,,,,,,,,,,,,,,,71,83,79,82
Brandon Miller,Brandon,Miller,,,,,,,,,,,,,,,,,,,,,,,,,78,81,82
Cooper Flagg,Cooper,Flagg,,,,,,,,,,,,,,,,,,,,,,,,,,,82
Stephon Castle,Stephon,Castle,,,,,,,,,,,,,,,,,,,,,,,,,,73,82
Toumani Camara,Toumani,Camara,,,,,,,,,,,,,,,,,,,,,,,,,68,74,82
Aaron Nesmith,Aaron,Nesmith,,,,,,,,,,,,,,,,,,,,,,72,72,71,76,78,81
Andrew Nembhard,Andrew,Nembhard,,,,,,,,,,,,,,,,,,,,,,,,70,76,81,81
Anfernee Simons,Anfernee,Simons,,,,,,,,,,,,,,,,,,,,69,72,72,75,80,83,81,81
Bobby Portis,Bobby,Portis,,,,,,,,,,,,,,,,,71,74,76,79,78,77,79,80,82,80,81
CJ McCollum,CJ,McCollum,,,,,,,,,,,,,,,72,72,72,83,86,87,87,84,85,85,84,84,81
Dejounte Murray,Dejounte,Murray,,,,,,,,,,,,,,,,,,70,73,78,78,80,82,86,84,86,81
Draymond Green,Draymond,Green,,,,,,,,,,,,,,,61,77,82,90,88,87,86,79,80,83,83,83,81
Herb Jones,Herb,Jones,,,,,,,,,,,,,,,,,,,,,,,70,78,79,82,81
Immanuel Quickley,Immanuel,Quickley,,,,,,,,,,,,,,,,,,,,,,71,78,77,80,81,81
Jalen Johnson,Jalen,Johnson,,,,,,,,,,,,,,,,,,,,,,,73,73,75,80,81
Josh Hart,Josh,Hart,,,,,,,,,,,,,,,,,,,70,76,75,75,77,80,80,82,81
Jrue Holiday,Jrue,Holiday,,,,,,,,,,,67,70,79,82,88,82,80,79,80,85,86,83,85,86,87,87,81
Luguentz Dort,Luguentz,Dort,,,,,,,,,,,,,,,,,,,,,,74,78,77,78,80,81
Onyeka Okongwu,Onyeka,Okongwu,,,,,,,,,,,,,,,,,,,,,,76,74,76,80,80,81
Paul George,Paul,George,,,,,,,,,,,,71,74,78,83,89,86,89,91,89,93,90,88,88,89,89,81
Shaedon Sharpe,Shaedon,Sharpe,,,,,,,,,,,,,,,,,,,,,,,,72,78,79,81
Alexandre Sarr,Alexandre,Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,75,81
Mac McClung,Mac,McClung,,,,,,,,,,,,,,,,,,,,,,,,67,69,,
Aaron Holiday,Aaron,Holiday,,,,,,,,,,,,,,,,,,,,72,73,76,73,75,73,73,
Aaron Wiggins,Aaron,Wiggins,,,,,,,,,,,,,,,,,,,,,,,,73,74,78,
Admiral Schofield,Admiral,Schofield,,,,,,,,,,,,,,,,,,,,,71,71,69,69,70,,
AJ Green,AJ,Green,,,,,,,,,,,,,,,,,,,,,,,,67,71,72,
AJ Griffin,AJ,Griffin,,,,,,,,,,,,,,,,,,,,,,,,72,76,72,
AJ Lawson,AJ,Lawson,,,,,,,,,,,,,,,,,,,,,,,,67,67,71,
Al Horford,Al,Horford,,,,,,,,,79,80,76,78,80,82,84,83,83,85,83,86,85,80,79,82,82,,
Alec Burks,Alec,Burks,,,,,,,,,,,,,,71,72,76,76,77,74,75,73,77,77,76,76,76,
Aleksej Pokusevski,Aleksej,Pokusevski,,,,,,,,,,,,,,,,,,,,,,72,74,75,76,,
Alex Caruso,Alex,Caruso,,,,,,,,,,,,,,,,,,,,68,73,74,76,77,78,82,
Alex Len,Alex,Len,,,,,,,,,,,,,,,57,68,74,75,73,77,77,76,76,74,71,71,
Alize Johnson,Alize,Johnson,,,,,,,,,,,,,,,,,,,,69,70,70,74,72,70,,
Alondes Williams,Alondes,Williams,,,,,,,,,,,,,,,,,,,,,,,,68,67,,
Amir Coffey,Amir,Coffey,,,,,,,,,,,,,,,,,,,,,,68,,75,72,73,
Andre Drummond,Andre,Drummond,,,,,,,,,,,,,,59,72,83,83,87,85,87,86,85,79,79,77,78,
Andrew Wiggins,Andrew,Wiggins,,,,,,,,,,,,,,,,77,80,82,86,81,79,82,80,84,82,78,
Anthony Gill,Anthony,Gill,,,,,,,,,,,,,,,,,,,,,,,73,72,72,72,
Ariel Hukporti,Ariel,Hukporti,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Armoni Brooks,Armoni,Brooks,,,,,,,,,,,,,,,,,,,,,,,,71,,,
Austin Rivers,Austin,Rivers,,,,,,,,,,,,,,67,71,72,73,74,80,78,76,75,74,73,74,,
Ayo Dosunmu,Ayo,Dosunmu,,,,,,,,,,,,,,,,,,,,,,,70,76,74,78,
Ben Simmons,Ben,Simmons,,,,,,,,,,,,,,,,,,79,79,87,87,87,84,83,76,76,
Bennedict Mathurin,Bennedict,Mathurin,,,,,,,,,,,,,,,,,,,,,,,,74,80,80,
Bismack Biyombo,Bismack,Biyombo,,,,,,,,,,,,,,62,61,73,72,77,73,74,75,76,72,72,75,,
BJ Boston,BJ,Boston,,,,,,,,,,,,,,,,,,,,,,,69,72,72,,
Blake Wesley,Blake,Wesley,,,,,,,,,,,,,,,,,,,,,,,,71,73,72,
Boban Marjanovic,Boban,Marjanovic,,,,,,,,,,,,,,,,,69,75,74,75,75,75,74,73,72,,
Bogdan Bogdanovic,Bogdan,Bogdanovic,,,,,,,,,,,,,,,,,,,74,77,78,79,80,80,79,79,
Bojan Bogdanovic,Bojan,Bogdanovic,,,,,,,,,,,,,,,,72,71,76,77,79,83,81,77,80,82,77,
Bol Bol,Bol,Bol,,,,,,,,,,,,,,,,,,,,,,71,71,71,77,75,
Bones Hyland,Bones,Hyland,,,,,,,,,,,,,,,,,,,,,,,71,76,75,74,
Bradley Beal,Bradley,Beal,,,,,,,,,,,,,,75,75,77,80,79,87,87,87,88,89,87,86,85,
Brandon Clarke,Brandon,Clarke,,,,,,,,,,,,,,,,,,,,,73,80,77,76,77,77,
Brandon Williams,Brandon,Williams,,,,,,,,,,,,,,,,,,,,,,,,73,,70,
Braxton Key,Braxton,Key,,,,,,,,,,,,,,,,,,,,,,,,67,67,,
Brook Lopez,Brook,Lopez,,,,,,,,,,,77,81,76,80,81,83,83,81,84,79,79,82,79,80,84,80,
Bruce Brown,Bruce,Brown,,,,,,,,,,,,,,,,,,,,69,73,74,77,76,80,77,
Bryce McGowens,Bryce,McGowens,,,,,,,,,,,,,,,,,,,,,,,,70,71,71,
Bryn Forbes,Bryn,Forbes,,,,,,,,,,,,,,,,,,,71,72,75,74,75,73,74,,
Buddy Boeheim,Buddy,Boeheim,,,,,,,,,,,,,,,,,,,,,,,,68,68,,
Buddy Hield,Buddy,Hield,,,,,,,,,,,,,,,,,,75,77,79,84,81,79,78,80,79,
Caleb Houstan,Caleb,Houstan,,,,,,,,,,,,,,,,,,,,,,,,70,71,72,
Caleb Martin,Caleb,Martin,,,,,,,,,,,,,,,,,,,,,,69,,76,79,76,
Cam Reddish,Cam,Reddish,,,,,,,,,,,,,,,,,,,,,,73,76,74,75,73,
Cam Thomas,Cam,Thomas,,,,,,,,,,,,,,,,,,,,,,,71,74,76,81,
Cameron Payne,Cameron,Payne,,,,,,,,,,,,,,,,,72,73,71,71,72,74,76,76,76,75,
Caris LeVert,Caris,LeVert,,,,,,,,,,,,,,,,,,71,75,76,78,83,82,78,78,77,
Carlik Jones,Carlik,Jones,,,,,,,,,,,,,,,,,,,,,,,,67,67,,
Cedi Osman,Cedi,Osman,,,,,,,,,,,,,,,,,,,71,75,75,75,72,75,75,,
Charles Bassey,Charles,Bassey,,,,,,,,,,,,,,,,,,,,,,,,73,75,73,
Charlie Brown,Charlie,Brown,,,,,,,,,,,,,,,,,,,,,,70,69,69,,,
Chaundee Brown,Chaundee,Brown,,,,,,,,,,,,,,,,,,,,,,,,67,,,
Chimezie Metu,Chimezie,Metu,,,,,,,,,,,,,,,,,,,,,71,73,74,75,75,,
Chris Boucher,Chris,Boucher,,,,,,,,,,,,,,,,,,,,66,71,77,79,76,77,74,
Chris Duarte,Chris,Duarte,,,,,,,,,,,,,,,,,,,,,,,73,77,75,72,
Chris Paul,Chris,Paul,,,,,,,80,87,90,94,94,95,93,94,94,91,90,91,91,90,85,88,90,90,85,81,
Chris Silva,Chris,Silva,,,,,,,,,,,,,,,,,,,,,,,,73,72,,
Christian Braun,Christian,Braun,,,,,,,,,,,,,,,,,,,,,,,,71,76,76,
Christian Koloko,Christian,Koloko,,,,,,,,,,,,,,,,,,,,,,,,70,74,,
Christian Wood,Christian,Wood,,,,,,,,,,,,,,,,,67,68,68,73,74,80,83,84,79,74,
Chuma Okeke,Chuma,Okeke,,,,,,,,,,,,,,,,,,,,,72,72,75,75,74,73,
CJ Elleby,CJ,Elleby,,,,,,,,,,,,,,,,,,,,,,,68,72,,,
Clint Capela,Clint,Capela,,,,,,,,,,,,,,,,67,70,77,79,84,85,82,86,84,82,80,
Cody Martin,Cody,Martin,,,,,,,,,,,,,,,,,,,,,,72,72,75,74,75,
Cole Anthony,Cole,Anthony,,,,,,,,,,,,,,,,,,,,,,72,77,78,79,78,
Cole Swider,Cole,Swider,,,,,,,,,,,,,,,,,,,,,,,,67,67,67,
Collin Gillespie,Collin,Gillespie,,,,,,,,,,,,,,,,,,,,,,,,68,68,69,
Collin Sexton,Collin,Sexton,,,,,,,,,,,,,,,,,,,,76,77,80,82,78,80,80,
Corey Kispert,Corey,Kispert,,,,,,,,,,,,,,,,,,,,,,,74,75,77,78,
Cory Joseph,Cory,Joseph,,,,,,,,,,,,,,62,62,73,74,75,75,74,74,73,75,73,74,72,
D'Angelo Russell,D'Angelo,Russell,,,,,,,,,,,,,,,,,77,79,80,83,87,84,83,82,82,81,
Daishen Nix,Daishen,Nix,,,,,,,,,,,,,,,,,,,,,,,,67,70,69,
Dalano Banton,Dalano,Banton,,,,,,,,,,,,,,,,,,,,,,,69,72,,75,
Dalen Terry,Dalen,Terry,,,,,,,,,,,,,,,,,,,,,,,,71,72,73,
Damian Jones,Damian,Jones,,,,,,,,,,,,,,,,,,68,70,69,,74,71,72,72,,
Damion Lee,Damion,Lee,,,,,,,,,,,,,,,,,,,,67,,74,73,73,75,74,
Daniel Gafford,Daniel,Gafford,,,,,,,,,,,,,,,,,,,,,71,75,78,77,77,81,
Daniel Theis,Daniel,Theis,,,,,,,,,,,,,,,,,,,71,74,76,79,76,75,74,74,
Danilo Gallinari,Danilo,Gallinari,,,,,,,,,,,56,72,67,71,77,77,76,80,81,77,83,83,79,78,77,,
Danny Green,Danny,Green,,,,,,,,,,,64,63,62,71,72,78,76,76,76,75,77,76,77,73,73,,
Danuel House,Danuel,House,,,,,,,,,,,,,,,,,,65,69,69,73,76,72,72,73,,
Dario Saric,Dario,Saric,,,,,,,,,,,,,,,,,,75,78,79,77,76,77,76,75,76,
Darius Bazley,Darius,Bazley,,,,,,,,,,,,,,,,,,,,,70,73,75,76,74,,
Darius Days,Darius,Days,,,,,,,,,,,,,,,,,,,,,,,,67,67,,
David Duke,David,Duke,,,,,,,,,,,,,,,,,,,,,,,,72,70,69,
David Nwaba,David,Nwaba,,,,,,,,,,,,,,,,,,68,73,73,73,73,76,74,,,
David Roddy,David,Roddy,,,,,,,,,,,,,,,,,,,,,,,,72,73,73,
Davion Mitchell,Davion,Mitchell,,,,,,,,,,,,,,,,,,,,,,,76,77,75,72,
Davis Bertans,Davis,Bertans,,,,,,,,,,,,,,,,,,70,72,75,76,79,76,73,72,,
Davon Reed,Davon,Reed,,,,,,,,,,,,,,,,,,,69,68,,,,72,70,,
Day'Ron Sharpe,Day'Ron,Day'Ron,,,,,,,,,,,,,,,,,,,,,,,71,73,73,74,
De'Andre Hunter,De'Andre,Hunter,,,,,,,,,,,,,,,,,,,,,77,75,80,76,80,79,
De'Anthony Melton,De'Anthony,Melton,,,,,,,,,,,,,,,,,,,,,72,75,75,77,78,77,
Dean Wade,Dean,Wade,,,,,,,,,,,,,,,,,,,,,,70,72,73,73,72,
Deandre Ayton,Deandre,Ayton,,,,,,,,,,,,,,,,,,,,79,82,84,86,85,83,83,
DeAndre Jordan,DeAndre,Jordan,,,,,,,,,,63,56,54,65,73,74,81,84,85,87,86,81,80,76,72,72,74,
Delon Wright,Delon,Wright,,,,,,,,,,,,,,,,,70,69,72,77,76,75,76,75,77,75,
Derrick Favors,Derrick,Favors,,,,,,,,,,,,73,70,74,75,78,82,85,78,79,80,77,77,75,74,,
Derrick Jones,Derrick,Jones,,,,,,,,,,,,,,,,,,,,71,74,75,74,74,75,77,
Derrick Rose,Derrick,Rose,,,,,,,,,,80,80,85,92,92,92,88,82,80,78,75,80,81,83,81,75,75,
Devin Cannady,Devin,Cannady,,,,,,,,,,,,,,,,,,,,,,,,67,,,
Devin Vassell,Devin,Vassell,,,,,,,,,,,,,,,,,,,,,,74,74,76,81,81,
Devontae Cacok,Devontae,Cacok,,,,,,,,,,,,,,,,,,,,,,69,,70,,,
Devonte Graham,Devonte,Graham,,,,,,,,,,,,,,,,,,,,70,69,79,78,75,75,72,
Dewayne Dedmon,Dewayne,Dedmon,,,,,,,,,,,,,,,,66,71,74,77,77,76,72,74,75,72,,
Didi Louzada,Didi,Louzada,,,,,,,,,,,,,,,,,,,,,,,68,68,,,
Dillon Brooks,Dillon,Brooks,,,,,,,,,,,,,,,,,,,68,75,74,77,78,80,78,79,
DJ Wilson,DJ,Wilson,,,,,,,,,,,,,,,,,,,,70,72,70,,71,,,
Dominick Barlow,Dominick,Barlow,,,,,,,,,,,,,,,,,,,,,,,,66,68,70,
Donte DiVincenzo,Donte,DiVincenzo,,,,,,,,,,,,,,,,,,,,72,72,77,79,75,76,80,
Dorian Finney-Smith,Dorian,Finney-Smith,,,,,,,,,,,,,,,,,,,72,72,73,76,76,78,77,76,
Doug McDermott,Doug,McDermott,,,,,,,,,,,,,,,,75,68,74,73,73,74,76,76,74,73,,
Drew Eubanks,Drew,Eubanks,,,,,,,,,,,,,,,,,,,,,,68,74,75,76,74,
Duane Washington Jr,Duane,Washington Jr,,,,,,,,,,,,,,,,,,,,,,,,72,71,,
Duncan Robinson,Duncan,Robinson,,,,,,,,,,,,,,,,,,,,,67,78,78,74,77,77,
Dwight Powell,Dwight,Powell,,,,,,,,,,,,,,,,67,68,74,73,76,77,76,75,76,76,73,
Dylan Windler,Dylan,Windler,,,,,,,,,,,,,,,,,,,,,,71,73,71,71,,
Edmond Sumner,Edmond,Sumner,,,,,,,,,,,,,,,,,,,,67,71,71,75,75,75,,
Eric Gordon,Eric,Gordon,,,,,,,,,,78,72,74,82,85,84,79,78,77,80,81,78,78,78,75,76,76,
Eric Paschall,Eric,Paschall,,,,,,,,,,,,,,,,,,,,,71,79,76,75,,,
Eugene Omoruyi,Eugene,Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,68,71,,
Evan Fournier,Evan,Fournier,,,,,,,,,,,,,,58,66,72,72,78,78,79,78,80,79,76,73,,
Feron Hunt,Feron,Hunt,,,,,,,,,,,,,,,,,,,,,,,,67,,,
Frank Kaminsky,Frank,Kaminsky,,,,,,,,,,,,,,,,,73,74,76,76,76,75,76,74,74,,
Frank Ntilikina,Frank,Ntilikina,,,,,,,,,,,,,,,,,,,74,74,73,73,72,72,72,,
Fred VanVleet,Fred,VanVleet,,,,,,,,,,,,,,,,,,,69,77,79,85,82,84,83,84,
Furkan Korkmaz,Furkan,Korkmaz,,,,,,,,,,,,,,,,,,,70,71,73,75,75,73,70,,
Gabe Vincent,Gabe,Vincent,,,,,,,,,,,,,,,,,,,,,,67,70,75,79,74,
Garrett Temple,Garrett,Temple,,,,,,,,,,,,63,,,64,68,71,74,74,74,73,74,72,70,70,70,
Garrison Mathews,Garrison,Mathews,,,,,,,,,,,,,,,,,,,,,72,71,74,73,70,72,
Gary Harris,Gary,Harris,,,,,,,,,,,,,,,,71,65,76,81,83,79,76,73,74,75,75,
Gary Payton II,Gary,Payton II,,,,,,,,,,,,,,,,,,,69,68,,72,72,77,77,75,
Gary Trent Jr,Gary,Trent Jr,,,,,,,,,,,,,,,,,,,,69,71,77,77,79,79,78,
George Hill,George,Hill,,,,,,,,,,70,61,76,72,74,75,78,78,76,82,76,75,77,75,73,73,,
Georges Niang,Georges,Niang,,,,,,,,,,,,,,,,,,68,66,69,72,73,73,73,73,73,
Goga Bitadze,Goga,Bitadze,,,,,,,,,,,,,,,,,,,,,72,73,74,75,74,73,
Goran Dragic,Goran,Dragic,,,,,,,,,,,62,68,63,77,78,84,81,78,85,84,79,79,78,74,73,,
Gordon Hayward,Gordon,Hayward,,,,,,,,,,,,64,63,68,68,81,83,84,88,88,80,83,83,80,78,,
Gorgui Dieng,Gorgui,Dieng,,,,,,,,,,,,,,,64,72,74,77,76,75,76,74,74,74,73,,
Grant Williams,Grant,Williams,,,,,,,,,,,,,,,,,,,,,72,71,70,77,76,76,
Grayson Allen,Grayson,Allen,,,,,,,,,,,,,,,,,,,,73,72,72,75,75,75,78,
Greg Brown,Greg,Brown,,,,,,,,,,,,,,,,,,,,,,,69,72,71,,
Hamidou Diallo,Hamadou,Diallo,,,,,,,,,,,,,,,,,,,,69,70,70,77,76,76,,
Harrison Barnes,Harrison,Barnes,,,,,,,,,,,,,,75,75,76,77,79,81,82,79,78,78,80,79,77,
Haywood Highsmith,Haywood,Highsmith,,,,,,,,,,,,,,,,,,,,,,,,68,74,74,
Isaac Okoro,Isaac,Okoro,,,,,,,,,,,,,,,,,,,,,,75,74,75,76,76,
Isaiah Jackson,Isaiah,Jackson,,,,,,,,,,,,,,,,,,,,,,,72,76,75,76,
Isaiah Joe,Isaiah,Joe,,,,,,,,,,,,,,,,,,,,,,,71,69,76,78,
Isaiah Livers,Isaiah,Livers,,,,,,,,,,,,,,,,,,,,,,,69,72,74,,
Isaiah Mobley,Isaiah,Mobley,,,,,,,,,,,,,,,,,,,,,,,,69,70,,
Isaiah Roby,Isaiah,Roby,,,,,,,,,,,,,,,,,,,,,,70,74,75,73,,
Isaiah Stewart,Isaiah,Stewart,,,,,,,,,,,,,,,,,,,,,,72,78,76,77,76,
Isaiah Todd,Isaiah,Todd,,,,,,,,,,,,,,,,,,,,,,,70,70,70,,
Ishmael Smith,Ishmael,Smith,,,,,,,,,,,,,69,70,71,68,70,75,74,76,73,76,73,75,73,,
Ishmail Wainright,Ishmail,Wainright,,,,,,,,,,,,,,,,,,,,,,,,70,73,,
Jabari Smith,Jabari,Smith,,65,60,,,,,,,,,,,,,,,,,,,,,78,79,80,
Jabari Walker,Jabari,Walker,,,,,,,,,,,,,,,,,,,,,,,,68,71,74,
Jack White,Jack,White,,,,,,,,,,,,,,,,,,,,,,,,67,67,,
Jaden Hardy,Jaden,Hardy,,,,,,,,,,,,,,,,,,,,,,,,70,76,73,
Jaden Ivey,Jaden,Ivey,,,,,,,,,,,,,,,,,,,,,,,,76,80,78,
Jaden Springer,Jaden,Springer,,,,,,,,,,,,,,,,,,,,,,,71,70,70,71,
Jae Crowder,Jae,Crowder,,,,,,,,,,,,,,,67,72,76,81,80,76,76,77,77,76,75,,
